question_id,concept_1_name,concept_1_desc,concept_2_name,concept_2_desc,concept_3_name,concept_3_desc
10-844,Echolocation Mechanism,The process of emitting sound waves and interpreting the returning echoes to locate objects.,Biological Adaptation,A specialized physical or behavioral trait that increases an organism's chance of survival in its environment.,Sound Wave Propagation,The movement of sound energy through a medium as longitudinal waves.
13-458,Biomimicry in Structural Engineering,The practice of applying biological structures to human-made designs to improve stability and strength.,Plant Structural Support Systems,The biological mechanisms plants use to maintain stability and resist external forces like wind.,Functions of Plant Organs,"The basic roles of different plant parts such as roots, stems, leaves, and flowers."
14-1312,Trophic Level Dependencies,The reliance of heterotrophs on autotrophs for energy and organic matter.,Photosynthesis Process,The process by which plants convert light energy into chemical energy stored as glucose.,Biological Sustenance,The requirement of living organisms to obtain nutrients and energy to maintain life functions.
11-370,Thermal Energy Transfer,The process of adding heat energy to a substance to change its physical state or chemical composition.,Chemical Changes in Cooking,The application of heat to trigger chemical reactions that transform raw ingredients into cooked food.,Edible Substances,Materials that are safe for human consumption and can be processed into food.
1875,Species-Specific Reproduction,Organisms of the same species typically produce offspring that belong to the same species.,Biological Inheritance,Offspring inherit genetic traits and characteristics from their parents.,Definition of Offspring,The young of a particular animal species are called offspring or pups in the context of canines.
10-76,Wind-Driven Sediment Transport,The movement of particles by wind is a process of erosion and deposition that can relocate materials over long distances.,Atmospheric Air Movement,The wind is the movement of air from high-pressure areas to low-pressure areas.,Physical Displacement,The physical movement of an object from one location to another through an external force.
13-119,Atmospheric Humidity,The measure of water vapor present in the air of a given location.,Water Vapor State,The gaseous phase of water that exists in the atmosphere.,Chemical Formula of Water,The molecular representation of water as two hydrogen atoms and one oxygen atom.
12-383,Mechanical Digestion Process,The physical breakdown of food into smaller pieces to increase surface area for enzymes.,Digestive System Function,The biological process of breaking down complex food molecules into absorbable nutrients.,Basic Anatomy of Eating,The physical actions of chewing and swallowing to move food from the mouth to the stomach.
11-367,Nonrenewable Resource Depletion,The process where resources are consumed faster than they can be naturally replenished.,Energy Source Classification,The categorization of energy sources into renewable and nonrenewable based on their regeneration rate.,Fossil Fuel Definition,Natural fuels formed from the remains of living organisms over millions of years.
10-23,Plant Vascular Systems,Specialized tissues like xylem and phloem transport water and nutrients throughout a plant body.,Biological Nutrient Transport,Living organisms require mechanisms to move essential substances to all cells for survival.,Biotic vs Abiotic Factors,The distinction between living organisms and non-living objects based on biological processes.
10-779,Evaporation Process,The process by which liquid water turns into water vapor due to energy absorption.,Thermal Energy Transfer,The movement of energy from a warmer environment to a liquid surface.,States of Matter,"The different physical forms water can take, such as liquid and gas."
12-342,Biological Growth Requirements,Living organisms require specific nutrients and energy sources to increase in size and complexity.,Cellular Expansion,The process by which cells increase in volume or number to allow an organism to grow.,Definition of Expansion,"The act of becoming larger in size, volume, or scope."
7-180,Adaptive Coloration,Organisms evolve specific colors or patterns to increase their chances of survival in a specific environment.,Camouflage,The use of color or pattern to blend into the surroundings to avoid detection by predators or prey.,Environmental Adaptation,Physical or behavioral traits that help an organism survive and reproduce in its habitat.
9-879,Heliocentric Model,The astronomical model where the Earth and other planets revolve around the Sun.,Planetary Motion,The movement of celestial bodies in orbits around a central gravitational mass.,Celestial Observation,The basic observation of the apparent movement of the Sun across the sky from a terrestrial perspective.
12-850,Precipitation Patterns and Biomes,The amount of annual rainfall is directly linked to the specific biological characteristics and vegetation of a region's biome.,Relationship between Water and Plant Growth,"Plants require water for photosynthesis and growth, meaning denser vegetation typically indicates higher water availability.",The Water Cycle,"The continuous movement of water on, above, and below the surface of the Earth through evaporation, precipitation, and condensation."
9-413,Contextual Vocabulary Application,Determining the correct word based on the sentido of a specific scenario.,Semantic Meaning of Navigation,The process of monitoring and controlling the movement of a craft from one place to another.,Basic Word Definition,The fundamental meaning of a word as defined in a dictionary.
12-611,Optical Magnification Principles,The process of increasing the apparent size of an object through the use of lenses or mirrors.,Visual Perception and Resolution,The ability of the human eye to distinguish detail and size in an image.,Definition of Magnification,The act of making something appear larger than its actual size.
12-428,Seasonal Temperature Variation,The variation in temperature throughout the year is caused by the angle of sunlight and duration of daylight.,Earth's Axial Tilt,"The Earth's axis is tilted relative to its orbital plane, which creates different solar intensities across latitudes.",Solar Radiation,The energy from the sun that reaches the Earth's surface as electromagnetic waves.
14-1496,Habitat Characteristics,The specific environmental conditions and resources that support a particular organism's survival.,Living vs Non-living Things,The distinction between biological organisms that grow and reproduce and inanimate objects.,Definition of Habitat,"The natural home or environment of an animal, plant, or other organism."
11-204,Ecological Succession Process,The gradual and predictable process of change in the species composition of an ecological community over time.,Community Dynamics,The interactions and changes in species composition within a biological community over time.,Biological Community,A group of interacting populations of different species living in the same area.
7-741,Thermal Energy Transfer,The process by which energy moves from a higher temperature region to a lower temperature region.,Absorption of Radiant Energy,The process where an object takes in energy from electromagnetic waves like sunlight.,Temperature Definition,A measure of the average kinetic energy of the particles in a substance.
13-585,Habitat Loss and Degradation,"The process where a natural environment is damaged or destroyed, leading to the loss of biodiversity.",Environmental Impact,The effect of human or natural activities on the physical and biological components of an ecosystem.,Definition of Habitat,"The specific place or environment where a plant, animal, or other organism lives."
14-573,Severe Weather Patterns,Certain atmospheric conditions like green skies and high winds often signal the approach of a severe thunderstorm or tornado.,Weather Forecasting Indicators,Visual and environmental cues are used to predict immediate changes in weather conditions.,Basic Meteorological Terms,Wind and sky color are fundamental observable characteristics of the atmosphere.
9-605,Biological Response to Cold,Organisms use involuntary muscle contractions to generate metabolic heat when exposed to low temperatures.,Cause and Effect Relationships,Environmental stimuli trigger specific physiological or behavioral reactions in living things.,Temperature Perception,The state of being cold refers to a low thermal energy level in the surrounding environment.
12-833,Sedimentation Process,The process of particles settling out of a fluid due to gravity over time.,Weathering and Erosion,The breakdown of rocks and the transport of materials by natural forces like water and wind.,Gravity,The force that pulls objects toward the center of the Earth.
9-319,Omnivorous Dietary Patterns,The ability of a species to derive nutrients from both plant and animal sources.,Food Groups,"Categories of foods that share similar nutritional properties, such as proteins, carbohydrates, and vitamins.",Basic Human Nutrition,The fundamental requirement for humans to consume organic matter to obtain energy and nutrients.
14-778,Optical Magnification Principles,The process of using lenses to increase the apparent size of an object for better observation.,Microscopic vs Macroscopic Observation,Distinguishing between objects visible to the naked eye and those requiring magnification tools.,Scientific Observation Tools,Basic instruments used to gather data and observe physical characteristics of organisms.
11-572,Aeolian Transport Processes,The movement of sediment by wind through processes like saltation and suspension.,Geological Time Scales,"The understanding of how small, consistent changes over long periods lead to significant geological shifts.",Historical Technological Constraints,The ability to distinguish between available technologies in different historical eras.
12-639,Animal Foraging Behavior,Animals prioritize food sources based on energy gain versus risk of predation or disease.,Disease Avoidance Mechanisms,Instinctual behaviors that lead animals to avoid potential sources of infection or pathogens.,Animal Instincts,Innate behaviors that guide an animal's survival and safety in their environment.
14-1138,Temporal Unit Conversion,The process of calculating equivalent durations by converting between different units of time.,Fractional Time Measurement,The application of mathematical fractions to represent portions of a standard unit of time.,Basic Time Units,The fundamental definitions of minutes and seconds as standard measures of duration.
10-499,Biological Fitness and Survival,The ability of an organism to survive and reproduce in an environment that provides necessary resources.,Environmental Resource Availability,"The presence of essential factors like food, water, and shelter that determine the viability of a habitat.",Contextual Vocabulary Application,Using the meaning of words within a sentence to determine the most logical outcome based on the provided conditions.
9-880,Lithification Process,The process of turning loose sediment into solid rock through compaction and cementation.,Sedimentary Rock Cycle,"The sequence of events including weathering, erosion, deposition, and lithification that forms sedimentary rocks.",Sediment Deposition,The accumulation of mineral or organic particles in layers over time.
7-499,Freeze-Thaw Cycle,"The process where water enters cracks, freezes, expands, and widens the gaps in materials.",Expansion of Water,Water expands in volume when it transitions from a liquid to a solid state.,States of Matter,"The basic properties and transitions between solids, liquids, and gases."
10-937,Plate Tectonics and Seismic Activity,The movement of tectonic plates creates stress and energy release in the form of earthquakes along plate boundaries.,Fault Line Mechanics,"A fault is a fracture in the Earth's crust where blocks of rock slide past each other, often causing seismic events.",Earth's Internal Structure,The Earth consists of layers including a solid crust and a semi-fluid mantle that allows for the plate movement.
11-517,Population Dynamics,"The study of how population sizes change over time due to factors like birth, death, and mating success.",Reproductive Success,The ability of an organism to produce offspring and pass on its genes to the next generation.,Basic Arithmetic,The fundamental process of adding or subtracting numbers to determine a total value.
7-697,Hemispheric Seasonal Variation,Opposite hemispheres experience opposite seasons due to the Earth's axial tilt relative to the sun.,Earth's Axial Tilt,"The Earth rotates on an axis tilted at approximately 23.5 degrees, causing varying sunlight intensity by region.",Global Geographic Distribution,The basic understanding of the relative positions of the Northern and Southern Hemispheres.
10-1013,Acoustic Vibration Mechanics,The physical process where a string oscillates rapidly back and forth to create sound waves.,Mechanical Wave Propagation,The movement of energy through a medium via periodic disturbances.,Vibration Definition,The rapid back-and-forth motion of an object around a central point.
8-156,Adaptive Camouflage Mechanisms,The biological ability of an organism to change its color or pattern to blend into its surroundings for survival.,Predator-Prey Interactions,"The biological relationship where one organism hunts and captures another, driving the evolution of survival strategies.",Animal Physical Characteristics,The basic identification of the physical traits and behaviors of different animal species.
12-851,Trophic Level Energy Transfer,The process by which energy moves from producers to consumers within an ecosystem.,Producer Autotrophy,"The ability of plants to synthesize their own food using sunlight, water, and carbon dioxide.",Herbivore-Producer Relationship,The basic interaction where an animal consumes a plant for energy.
11-369,Physical Properties of Sleet,"Sleet consists of frozen raindrops that bounce upon impact, creating an icy layer on surfaces.",Surface Friction and Traction,The presence of ice or water on a surface reduces the friction between two contacting objects.,States of Matter,"Matter can exist as solids, liquids, or gases depending on temperature and pressure."
13-509,Seasonal Variation by Hemisphere,The opposite seasons occur simultaneously in the Northern and Southern Hemispheres due to Earth's axial tilt.,Earth's Axial Tilt,The Earth rotates on an axis tilted at approximately 23.5 degrees relative to its orbital plane.,The Solstice,The point in Earth's orbit where one hemisphere is tilted most toward or away from the sun.
12-668,Reproductive Strategies of Vertebrates,"Different vertebrate classes use distinct methods of reproduction, such as oviparity and viviparity.",Animal Classification,Animals are grouped into classes like mammals and birds based on shared biological characteristics.,Definition of Oviparity,Oviparity is the biological process where animals lay eggs to develop embryos outside the body.
10-129,Plant Growth Factors,"The relationship between resource availability, such as water and nutrients, and the overall development of a plant.",Photosynthesis and Hydration,The role of water as a primary reactant in the process of plants creating energy for growth.,Basic Plant Needs,"The fundamental requirements, including water, sunlight, and air, that plants need to survive."
12-731,Hydrological Flow Dynamics,Water naturally flows from higher elevation to lower elevation due to gravity.,Topographic Gradient,The slope or steepness of land determines the direction and speed of water runoff.,Cardinal Directions,"The basic orientation of North, South, East, and West used to map spatial locations."
12-568,Dietary Fiber Sources,Identifying which food groups and specific biological materials contain cellulose and other non-digestible carbohydrates.,Herbivorous vs Carnivorous Diets,The distinction between diets based on plant matter versus animal proteins and fats.,Basic Nutrient Classification,"The categorization of substances consumed by organisms into nutrients like proteins, fats, and carbohydrates."
10-706,Animal Defense Mechanisms,The diverse strategies animals use to avoid predation and survive in their own environment.,Predator-Prey Dynamics,The biological interaction where one organism hunts and kills another for food.,Animal Adaptation,The process by which animals develop traits that help them survive in their environment.
11-231,Spatial Orientation and Navigation,The ability to use a cardinal direction as a reference point to determine other directions relative to a person's position.,Cardinal Direction Relationships,"The fixed spatial relationship between North, South, East, and West on a compass rose.",Magnetic North Alignment,The principle that a magnetized needle aligns itself with the Earth's magnetic field to point North.
8-432,Mechanism of Visual Perception,The process by which light reflects off an object and enters the eye to create an image on the retina.,Reflection of Light,"The bouncing of light waves off a surface, allowing the object to be seen by an observer.",Properties of Light,Light is a form of energy that travels in straight lines from a source to an object and then to the observer.
10-232,Renewable Resource Classification,The ability to categorize materials based on their capacity to replenish naturally over human timescales.,Resource Sustainability,The distinction between resources that are finite and those that can be regenerated.,Natural Resource Definition,Materials or substances occurring in nature which can be exploited for economic gain.
14-549,Lunar Cycle Periodicity,The predictable timing of celestial bodies' daily movements across the sky based on orbital mechanics.,Earth's Rotation and Apparent Motion,The rotation of the Earth on its axis causes celestial objects to appear to rise and the set each day.,Definition of a Solar Day,The basic time interval required for a point on Earth to rotate once relative to the sun.
10-1156,Biological Digestion Process,"The chemical and mechanical breakdown of food into smaller, absorbable nutrients by enzymes and acids.",Chemical vs Physical Changes,The distinction between processes that create new substances and those that only change the state or form of matter.,Basic Nutrient Absorption,The fundamental process of how organisms take in food to obtain energy for survival.
10-138,Fluid Dynamics of Airflow,The movement of air is driven by pressure differences created by mechanical force.,Mechanical Energy Transfer,Kinetic energy from a motor is transferred to a physical object to move a surrounding medium.,Rotational Motion,The movement of an object spinning around a central axis.
13-620,Factors Affecting Evaporation Rate,The rate at which liquid molecules escape into the air is influenced by external energy sources like heat.,Phase Change from Liquid to Gas,Evaporation is the process where molecules at the surface of a liquid gain enough energy to become vapor.,Solar Energy Transfer,The sun provides thermal energy to the Earth's surface through radiation.
12-845,Seasonal Environmental Changes,The observation of biological and physical changes in nature that occur during specific times of the year.,Seasonal Weather Patterns,The general trends in temperature and precipitation that characterize different seasons.,Definition of Seasons,The division of the year into four distinct periods based on weather and climate changes.
11-266,Environmental Temperature Regulation,The ability to maintain a specific temperature range within a microenvironment to support biological growth.,Plant Growth Requirements,Living plants require specific temperature and light conditions to survive and thrive.,Thermal Energy Sources,Devices or natural processes that provide heat to an area to counteract cold temperatures.
14-850,Dietary Fiber and Digestion,Insoluble fiber adds bulk to stool and stimulates peristalsis to move waste through the digestive tract.,Herbivore Digestive Systems,Large herbivores require high-roughage diets to maintain healthy gastrointestinal motility.,Constipation Definition,Constipation is a condition characterized by infrequent or difficult bowel movements.
10-833,Glacial Erosion and Deposition,The process by which glaciers carve landscapes and leave behind distinct geological markers like striations.,Geological Evidence Analysis,The ability to identify past environmental changes through physical clues left in the earth's crust.,Physical Properties of Rocks,The basic understanding that rocks can be shaped or moved by natural forces over time.
12-219,Thermal Energy Transfer,The process by which heat moves from a higher temperature object to a lower temperature object.,Tissue Damage Thresholds,The temperature at which biological tissues begin to undergo denaturation and cellular damage.,Boiling Point of Water,The temperature at which water changes state from liquid to gas at standard atmospheric pressure.
1295,Law of Supply and Demand,The relationship between the price of a good and the quantity supplied or demanded in a market.,Market Equilibrium Response,How producers adjust their output levels in response to changes in consumer demand.,Basic Economic Demand,The amount of a good that consumers are willing and able to buy at a given price.
10-963,Ultraviolet Radiation Protection,Certain materials can block or absorb harmful UV rays from the sun to prevent eye damage.,Light Filtration and Blocking,The ability of an object to prevent light from passing through to a sensitive area.,Basic Human Anatomy,Identifying the eyes as the sensory organs responsible for vision that require protection from external stimuli.
812,Solar Noon Position,The point in the day when the sun reaches its highest point in the sky and is directly overhead.,Daily Solar Cycle,The apparent movement of the sun across the sky from east to west due to Earth's rotation.,Time of Day,"The division of the day into periods such as morning, afternoon, and evening based on the sun's position."
12-115,Population Dynamics,The study of how and why populations change in size and composition over time.,Reproductive Rate,The speed at which a population produces new offspring to replace dying individuals.,Community Composition,The basic definition of a group of interacting populations of different species in a specific area.
12-1084,Hydrodynamic Adaptation,Physical traits that reduce drag and increase efficiency when moving through water.,Aquatic Locomotion,The specialized methods and movements animals use to navigate liquid environments.,Animal Habitats,The natural environment in which a particular species lives and thrives.
11-240,Skin Microbiome Balance,The complex community of microorganisms living on the skin that helps protect against pathogens.,Role of Beneficial Bacteria,Certain bacteria provide protective benefits to the host by competing with harmful microbes.,Hygiene and Skin Health,The practice of maintaining cleanliness to prevent disease and reduce odors.
751,Species Extinction,"The complete disappearance of a species from Earth, resulting in a population of zero.",Population Dynamics,The study of how populations change in size and distribution over time.,Biological Population,A group of individuals of the same species living in a specific area.
10-729,Animal Pollination Mechanisms,The process where animals transfer pollen from the male anthers to the female stigma of a flower.,Pollinator Characteristics,Specific biological traits that allow certain animals to attract and transport pollen.,Animal Classification,"The basic ability to distinguish between animals, plants, and abiotic factors."
14-986,Mechanical Advantage of Levers,The ratio of the output force to the input force in a simple machine.,Simple Machine Principles,The basic physics of how tools like levers and pulleys redistribute force and distance.,Fulcrum Definition,The pivot point around which a lever rotates to lift a load.
12-107,Work and Force Application,The amount of force required to move an object depends on the direction of the applied force relative to the direction of motion.,Effect of Inclined Planes,Moving an object up a slope increases the required force due to the opposing force of gravity.,Gravity,"The force that pulls objects toward the center of the Earth, acting vertically downward."
10-746,Thermal Decomposition of Organic Matter,High-temperature combustion processes break down organic compounds into ash and gases.,Incineration Process,The act of burning waste materials at high temperatures to reduce them to ash.,Properties of Plant Tissue,Plants are composed of organic materials that are combustible when exposed to extreme heat.
14-28,Newton's Second Law of Motion,The acceleration of an object depends on the khối lượng and the net force acting upon it.,Overcoming Static Friction,An initial force must be applied to overcome the resistance between two surfaces to initiate movement.,Definition of Force,A push or a pull exerted on an object resulting from its interaction with another object.
12-1025,Chemical Change via Combustion,"The process where a substance reacts with oxygen to produce heat, light, and carbon-based residues like charcoal.",Cause and Effect Relationships,The ability to identify a plausible trigger that leads to a specific physical outcome in an environment.,Properties of Charcoal,Charcoal is a carbon-rich solid remaining after the organic matter of wood has been burned.
13-580,Mnemonic Devices in Science,Techniques used to aid memory and recall of complex sequences or lists of information.,Scientific Classification Hierarchy,The structured system of organizing living organisms into a taxonomic ranks from domain to species.,Information Organization,The process of arranging data or concepts into a logical order to facilitate understanding.
9-291,Animal Habitat Suitability,The environmental conditions required for an organism to survive and reproduce.,Reproductive Biology,The process by which certain animals produce eggs to develop offspring.,Biological Organisms,Living things that exist in specific natural environments on Earth.
11-209,Factors Affecting Friction,"The amount of friction depends on the nature of the nature of the surfaces in contact, specifically their roughness or smoothness.",Friction and Surface Texture,Rougher surfaces create more resistance to motion due to interlocking irregularities on the surface.,Definition of Friction,Friction is the force that opposes the relative motion between two surfaces in contact.
10-1180,Industrial Waste Generation,The process by which manufacturing and production activities create byproduct materials that are no longer useful.,Environmental Impact of Industry,The effect that human industrial activities have on the natural environment through pollution and resource depletion.,Waste Definition,Any material that is discarded after primary use or as a byproduct of a process.
14-919,Herbivore Dietary Classification,Animals that consume exclusively plant matter as their primary food source.,Animal Diet Categories,"The classification of animals based on what they eat, including herbivores, carnivores, and omnivores.",Biological Organisms,Living entities that can be categorized by their biological traits and dietary habits.
14-614,Climate Change Mitigation Strategies,The application of actions or technologies to reduce the concentration of greenhouse gases in the atmosphere.,Anthropogenic Environmental Impact,The study of how human activities and societal behaviors influence global environmental systems.,Greenhouse Effect,"The process by which certain gases trap heat in the atmosphere, leading to an increase in global temperatures."
